,protocol,t,instances,time,security,joint
0,hybrid,33554432,100000,28.2129,smt,True
1,bucket,33554432,100000,28.3409,smt,True
2,subset,33554432,100000,30.2504,smt,True
3,exponent,33554432,100000,27.0012,smt,True
4,hybrid,33554432,100000,28.6001,smt,True
5,bucket,33554432,100000,28.77,smt,True
6,subset,33554432,100000,30.1098,smt,True
7,exponent,33554432,100000,27.1251,smt,True
8,hybrid,33554432,100000,27.9085,smt,True
9,bucket,33554432,100000,28.8046,smt,True
10,subset,33554432,100000,30.1162,smt,True
11,exponent,33554432,100000,27.1503,smt,True
12,hybrid,33554432,100000,27.6569,smt,True
13,bucket,33554432,100000,28.3642,smt,True
14,subset,33554432,100000,30.355,smt,True
15,exponent,33554432,100000,27.1172,smt,True
16,hybrid,33554432,100000,27.7043,smt,True
17,bucket,33554432,100000,28.0193,smt,True
18,subset,33554432,100000,30.0614,smt,True
19,exponent,33554432,100000,28.283,smt,True
20,hybrid,33554432,100000,27.9235,smt,True
21,bucket,33554432,100000,28.0579,smt,True
22,subset,33554432,100000,29.7288,smt,True
23,exponent,33554432,100000,27.0707,smt,True
24,hybrid,33554432,100000,28.8739,smt,True
25,bucket,33554432,100000,30.3583,smt,True
26,subset,33554432,100000,32.1035,smt,True
27,exponent,33554432,100000,28.2758,smt,True
28,hybrid,33554432,100000,29.1374,smt,True
29,bucket,33554432,100000,30.1582,smt,True
30,subset,33554432,100000,31.7045,smt,True
31,exponent,33554432,100000,28.3077,smt,True
32,hybrid,33554432,100000,28.4262,smt,True
33,bucket,33554432,100000,29.2932,smt,True
34,subset,33554432,100000,31.2683,smt,True
35,exponent,33554432,100000,28.2863,smt,True
36,hybrid,33554432,100000,28.985,smt,True
37,bucket,33554432,100000,30.4319,smt,True
38,subset,33554432,100000,31.9124,smt,True
39,exponent,33554432,100000,28.3327,smt,True
40,subset,33554432,100000,27.7139,smt,False
41,subset,33554432,100000,27.8552,smt,False
42,subset,33554432,100000,27.9547,smt,False
43,subset,33554432,100000,27.8743,smt,False
44,subset,33554432,100000,27.976,smt,False
45,subset,33554432,100000,27.758,smt,False
46,subset,33554432,100000,29.1886,smt,False
47,subset,33554432,100000,28.8275,smt,False
48,subset,33554432,100000,29.5093,smt,False
49,subset,33554432,100000,28.5212,smt,False
50,exponent,33554432,100000,26.7405,smt,False
51,exponent,33554432,100000,26.8113,smt,False
52,exponent,33554432,100000,26.879,smt,False
53,exponent,33554432,100000,26.8565,smt,False
54,exponent,33554432,100000,26.8243,smt,False
55,exponent,33554432,100000,26.9703,smt,False
56,exponent,33554432,100000,27.5765,smt,False
57,exponent,33554432,100000,27.242,smt,False
58,exponent,33554432,100000,27.9582,smt,False
59,exponent,33554432,100000,27.0141,smt,False
60,bucket,33554432,100000,28.0667,smt,False
61,bucket,33554432,100000,28.2031,smt,False
62,bucket,33554432,100000,27.678,smt,False
63,bucket,33554432,100000,27.5843,smt,False
64,bucket,33554432,100000,27.5918,smt,False
65,bucket,33554432,100000,28.7285,smt,False
66,bucket,33554432,100000,29.2174,smt,False
67,bucket,33554432,100000,28.8323,smt,False
68,bucket,33554432,100000,29.4787,smt,False
69,bucket,33554432,100000,28.2218,smt,False
70,hybrid,33554432,100000,28.6267,smt,False
71,hybrid,33554432,100000,27.9322,smt,False
72,hybrid,33554432,100000,27.8626,smt,False
73,hybrid,33554432,100000,27.7572,smt,False
74,hybrid,33554432,100000,27.8288,smt,False
75,hybrid,33554432,100000,28.0413,smt,False
76,hybrid,33554432,100000,28.7521,smt,False
77,hybrid,33554432,100000,28.291,smt,False
78,hybrid,33554432,100000,29.025,smt,False
79,hybrid,33554432,100000,27.8033,smt,False
